   4.2167920e+02   4.1984452e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00
   8.6809080e+01   4.1493472e+02  -3.2735000e+00   4.0088813e-16   0.0000000e+00
   2.4091887e+02   4.1719425e+02  -1.7567500e+00   2.1513983e-16   0.0000000e+00
   4.9542107e+02   9.3157763e+01   7.2842228e-01   3.1914265e+00   0.0000000e+00
   4.6148450e+02   2.4350151e+02   3.9091365e-01   1.7127046e+00   0.0000000e+00
   6.3353081e+02   1.6045871e+02   2.0409939e+00   2.5593254e+00   0.0000000e+00
   5.3603508e+02   2.7983005e+02   1.0953157e+00   1.3734825e+00   0.0000000e+00
   5.8597178e+02   3.4441729e+02   1.5827771e+00   7.6222526e-01   0.0000000e+00
   6.0236975e+02   4.2552295e+02   1.7567500e+00  -0.0000000e+00   0.0000000e+00
   1.6450921e+02   1.0476350e+02  -1.9786449e+00   2.4811422e+00   2.4640000e+00
   3.7496391e+02   7.0167636e+00  -7.0617018e-01   3.0939337e+00   2.4640000e+00
